"Ngày","Hà Nội","TP HCM","Hưng Yên","Hà Nam","Vĩnh Phúc","Đà Nẵng","Yên Bái","Quảng Nam","Đồng Nai","Hải Dương","Thái Bình","Quảng Ngãi","Lạng Sơn","Bắc Ninh","Thanh Hóa","Điện Biên","Nghệ An","Nam Định","Phú Thọ","Quảng Ninh","Bắc Giang","Hải Phòng","Thừa Thiên Huế","Đăk Lăk","Hòa Bình","Quảng Trị","Tuyên Quang","Sơn La","Ninh Bình","Thái Nguyên","Long An","Bạc Liêu","Gia Lai","Tây Ninh","Bình Dương","Trà Vinh","Đồng Tháp","Hà Tĩnh","Tiền Giang","Bắc Kạn","Lào Cai","An Giang","Vĩnh Long","Kiên Giang","Khánh Hòa","Phú Yên","Bình Thuận","Cần Thơ","Bà Rịa - Vũng Tàu","Bình Định","Bình Phước","Lâm Đồng","Ninh Thuận","Bến Tre","Sóc Trăng","Cà Mau","Hậu Giang","Đăk Nông","Kon Tum","Hà Giang","Quảng Bình","Lai Châu","Cao Bằng","","","","","",""
"","13679","479483","1090","1505","1422","6629","230","3258","89822","1189","1433","3088","560","5430","2990","474","4856","1798","2149","824","7085","1241","5256","8349","564","1094","694","385","261","799","38727","16576","3756","33342","284489","9670","25857","1223","26074","27","228","24974","14710","22575","15982","3966","20241","24001","18929","5706","10914","3458","3304","11380","18994","12356","6914","3095","446","4974","2707","38","198","","","","","",""
"27/4","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28/4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29/4","","1","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30/4","3","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/5","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/5","","","","2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/5","","","","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/5","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/5","15","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/5","28","","2","","11","3","","","","1","5","1","1","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/5","24","","4","1","1","5","","","","1","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/5","23","","3","","7","8","","1","","1","1","","","31","","","","1","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/5","17","","2","1","","17","","1","","","","","2","15","","","","","","","31","","2","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/5","32","","6","","20","18","","","","1","","","1","27","","1","","","","","15","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/5","5","","","","7","","","","","2","2","","1","34","","","","","","","17","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/5","14","","1","1","13","27","","","","","1","","1","5","","","","1","1","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13/5","8","","4","1","5","32","","","","","4","","","7","","","","","","","10","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14/5","27","","1","","","3","","","","","2","","6","46","","1","","2","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15/5","16","","1","1","5","8","","","","","","","4","17","","2","","1","","","109","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16/5","8","","1","6","","12","","","","2","","","","47","","12","","","","","98","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17/5","5","","2","5","4","7","","","","","","","2","49","","7","","","2","","97","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18/5","20","","1","4","","2","","","","3","1","","","16","","7","","","","","96","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19/5","11","2","","","1","2","","","","3","1","","3","47","","7","","","","","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20/5","6","3","","","1","1","","","","6","","","2","24","1","4","","","","","63","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21/5","3","","2","","","2","","","","3","","","1","14","","7","","","","","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22/5","10","","4","","","1","","","","7","1","","2","28","2","3","","","","","84","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23/5","7","","","","","1","","","","3","","","","48","","","","","","","68","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24/5","21","1","","","","1","","","","5","","","11","38","","2","","","","","105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25/5","24","1","","5","","2","","","","","1","","7","28","","1","","","","","375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26/5","16","","","","","","","","","4","","","","91","1","1","","","","","121","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27/5","7","36","","","","1","","","","1","","","1","52","","1","","","","","128","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28/5","4","25","1","1","","","","","","1","1","","10","33","","","","","","","176","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29/5","9","29","","3","","","","","","2","","","7","52","","1","","","","","170","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30/5","20","59","","","","1","","","","1","","","","43","","","","","","","124","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31/5","28","","","","","1","","","","","","","3","38","","","","","","","134","","","1","","","","","","","2","","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/6","2","70","","2","1","","","","","","","","12","34","","","","","","","124","","","","","","","","","","3","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/6","8","31","","","","1","","","","1","","","","31","","","","","","","157","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/6","6","30","","","","","","","","1","","","3","44","","","","","","","145","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/6","4","26","","","","","","","","","1","","","47","","","","","","","141","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/6","2","31","","1","2","","","","","","","","1","55","","","","","","","149","","","","","","","","","","","","","","2","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/6","2","31","","","","","","","","","","","","40","","","","","","","121","","","","","","","","","","","","","","2","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/6","2","46","","2","","","","","","","","","7","29","","","","","","","122","","","","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/6","3","39","","","","","","","","","","","5","25","","","","","","","98","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/6","6","40","","","","","","","","","","","1","35","","","","","","","296","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/6","4","61","","","","","","","","1","","","1","45","","","","","","","91","","","","","","","","","","1","","","","","","","5","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/6","6","48","","","","","","","","","","","","28","","","","","","","95","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/6","","84","","","","","","","","","","","1","34","","","","","","","125","","","","","","","","","","","","","","","","","5","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13/6","2","95","","","","","","","","","","","2","54","","","","","1","","129","","","","","","","","","","","","","","1","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14/6","4","82","","","","","","","","","","","","17","","","1","","","","121","","","","","","","","","","","","","","4","","","22","14","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15/6","1","90","","","","","","","","","","","2","55","","","","","","","235","","","","","","","","","","","","","","12","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16/6","","99","","1","","","","","","","","","","27","","","3","","","","279","","","","","","","","","","","","","","","","","4","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17/6","","137","","","","","","","","","","","2","12","","","1","","","","327","","","","","","","","","","","","","","7","","","4","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18/6","","149","","","","","","","","","","","","16","","","","","","","76","","","","2","","","","","","","","","","12","","","3","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19/6","1","135","","","","6","","","2","","","","2","36","","","16","1","","","227","","","","2","","","","","","6","","","","30","","","3","3","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20/6","","137","","","","27","","1","","","","","","19","","","5","","","","96","","","","","","","","","","","","","","13","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21/6","","166","2","","","4","","","","","","","","13","","","5","","","","51","","","","","","","","","","","","","","21","1","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22/6","1","136","2","","","4","","","1","","","","","10","","","2","","","","31","","","","","","","","","","1","","1","","33","","","2","5","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23/6","","152","4","","","6","","","","","","","","4","","","7","","","","11","","","","","","","","","","5","","","","23","","","","","1","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"24/6","","162","2","","","20","","","","","5","","","7","","","5","","","","28","1","","","","","","","","","2","","","2","27","","","","9","","","","","","1","8","","","","","","","","","","","","","","","","","","","","","","",""
"25/6","","724","3","","","5","","","","","1","","1","6","","","6","","","2","22","3","","","","","","","","","22","","2","","30","","2","","8","","","","","","1","2","5","","","","","","","","","","","","","","","","","","","","","",""
"26/6","2","58","11","","","7","","","","","1","6","","5","","","11","","","","16","2","","","","","","","","","7","","","5","5","","8","7","","","","","","","","10","2","1","","","","","","","","","","","","","","","","","","","","",""
"27/6","","200","15","","","2","","","","","","15","","6","","","4","","","","65","","","","","","","","","","7","","","","36","","","","","1","","","","","","8","","","","","","","","","","","","","","","","","","","","","","",""
"28/6","","218","2","","","1","","","11","","","20","2","16","","","11","","","2","33","1","","1","1","","","","","","6","","","","40","","1","7","","","","","","","","10","6","","","","","","","","","","","","","","","","","","","","","",""
"29/6","","155","15","","","","","","4","","","21","2","5","","","14","","","","27","2","","","","","","","","","12","","","","24","1","22","12","22","","","","1","","","20","1","","1","","","","","","","","","","","","","","","","","","","",""
"30/6","","249","9","","","2","","","12","","","10","","8","","","8","","","","13","1","","","","","","","","","1","","","","81","","5","","","1","","4","","","","27","","","6","4","","","","","","","","","","","","","","","","","","",""
"1/7","","464","11","","","3","","","","","","9","","3","","","3","","","","5","","","","","","","","","","28","","","","90","","1","5","38","","","5","1","","","26","","","","","1","","","","","","","","","","","","","","","","","",""
"2/7","","419","3","","","3","","","5","","","10","","2","","","3","","","","2","1","","","","","","","","","7","","","2","13","1","3","1","","","","6","3","","1","40","","","","","1","1","","","","","","","","","","","","","","","","",""
"3/7","","714","10","","","","","","32","","","16","","2","","","14","","","","","","","1","","","","","","","2","3","","","38","2","12","","12","","","1","3","","1","37","","","4","5","1","4","","","","","","","","","","","","","","","","",""
"4/7","","599","","","","1","","","","","","8","","3","","","3","","","","3","2","1","","","","","","","","72","","","2","87","1","6","2","29","","","6","2","","9","32","","","2","4","","","1","1","","","","","","","","","","","","","","",""
"5/7","","641","9","","","","","","9","","","4","1","4","","","1","","","","7","","","","","","","","","","15","","","3","131","","165","2","11","","","12","3","","18","40","","","4","3","4","1","","","1","","","","","","","","","","","","","",""
"6/7","12","710","6","2","","","","","11","","","","2","3","4","","3","","","","5","","","","","","","","","","14","","","","92","2","99","","","","","11","2","","","41","","","","","","","","","","","","","","","","","","","","","","",""
"7/7","3","766","5","","5","","","","2","","","13","","6","1","","2","","","","5","","","1","","","","","","","19","","","","60","3","5","1","18","","","","24","","41","14","","","2","","","","","","","1","","","","","","","","","","","","",""
"8/7","5","915","2","","","","","","","","","14","","8","","","1","","","","9","","","","","","","","","","","2","3","1","135","2","108","","","","","11","17","1","28","24","1","","","1","3","3","","1","","11","1","","","","","","","","","","","",""
"9/7","2","1229","8","","2","1","","","32","","","7","","15","1","","1","","","","10","","","","","","","","","","77","2","1","","73","8","32","","34","","","5","","","29","28","","6","4","","1","1","","","2","","4","1","","","","","","","","","","",""
"10/7","7","1320","7","1","1","","","","37","","2","14","","2","3","","","","","","4","","","","","","","","","","33","1","","4","140","2","58","1","75","","","10","26","1","28","33","","","12","2","8","","1","2","7","2","","","","","","","","","","","","",""
"11/7","7","1397","3","","","6","","1","","","","2","","10","1","","","","","","13","1","","","","","","","","","46","1","","","234","2","50","2","46","","","7","43","","","36","2","1","3","2","2","2","4","7","3","1","9","1","","","","","","","","","","",""
"12/7","29","1764","7","","1","14","","","82","","","7","","4","2","","1","2","","","7","","1","","","","","","","","","2","","3","128","8","40","","118","","","11","26","","58","30","","","","","8","","","","5","","8","1","","","","","","","","","","",""
"13/7","8","1797","8","","","4","","","12","","","2","","2","1","","1","1","","","2","","","","","","","","","","130","","","5","186","3","31","","","","1","4","23","3","","26","2","5","27","","1","","","11","","","","","","","","","","","","","","",""
"14/7","5","2229","","","1","15","","","118","","","4","1","3","","","4","","","","3","","3","","","","","","","","","","","4","73","2","133","1","115","","1","2","17","11","44","32","9","8","19","1","1","1","4","46","13","1","","","","","","","","","","","","",""
"15/7","18","2691","22","","1","33","","","132","","","4","","3","","","","","","","1","","","1","","","","","","","41","","","","122","3","99","","","","","8","17","","22","48","17","11","17","1","13","1","17","30","4","1","","1","","","","","","","","","","",""
"16/7","6","2420","15","","1","39","","","72","","","4","1","7","1","","16","","","","2","","","1","","","","","","","","","","33","166","2","158","","146","","1","1","49","8","57","44","9","19","","","13","2","3","15","","2","7","1","","","","","","","","","","",""
"17/7","15","2786","13","5","1","33","","","107","","","3","1","4","","","","","","","1","3","","","","","","","","","134","","6","","124","15","180","","","","","8","42","","100","31","5","6","23","2","10","1","1","34","6","","","5","","","","","","","","","","",""
"18/7","42","4692","13","2","","46","","","147","","","4","","4","","","5","","","","2","1","1","1","","","","","","","89","","","42","345","","101","","31","","","3","38","19","60","55","37","26","41","6","7","1","4","17","4","","","1","","","","","","","","","","",""
"19/7","44","3074","4","","2","","","11","154","","1","17","","4","","","","","","","","1","","","","","","","1","","37","","1","","503","8","53","","","","2","8","41","8","34","41","19","15","28","2","6","","4","30","19","","2","1","","","","","","","","","","",""
"20/7","46","3322","3","","9","61","","3","162","","","2","1","4","","","8","","","","1","","","10","","","","","","","46","4","1","","578","","66","","133","","","8","43","20","53","39","14","45","26","3","6","3","22","34","","","10","1","2","","","","","","","","","",""
"21/7","42","3556","3","","18","","","","170","","","6","2","4","1","","5","","1","","","","","17","","","","","","","60","","1","30","964","10","109","","65","","","","39","12","38","26","7","32","18","8","12","5","22","35","6","","9","4","","6","","","","","","","","",""
"22/7","50","4218","2","","2","27","","5","210","","","1","","7","","","","","","","","3","1","6","","","","2","","","432","","","","679","9","117","1","68","","1","15","38","11","5","21","26","45","63","4","5","","","65","8","","12","2","1","","2","","","","","","","",""
"23/7","70","4913","","","3","47","","2","217","","","26","","4","","","11","","","","2","","","4","1","","","","","","602","","","212","608","15","129","2","95","","","2","12","13","51","30","47","34","58","6","4","2","37","20","","2","4","8","1","","","1","","","","","","",""
"24/7","9","5396","4","2","21","36","","3","221","","","4","","","","","2","","","","","","1","27","","","","","","","1892","2","1","132","785","","75","","220","","","7","25","14","104","17","31","23","71","12","","2","8","61","","2","9","4","","2","","","","","","","","",""
"25/7","15","4555","","1","11","16","","11","253","","","4","","6","1","","4","","","","","","2","14","","","","","","","","3","6","313","1249","27","90","","218","","","2","50","25","172","109","78","56","126","6","26","1","7","45","9","","10","4","","","","","","","","","","",""
"26/7","81","5997","1","","10","61","","8","259","","","4","","","","","2","","","","","","1","29","1","","1","","","","","2","3","","733","13","135","","201","","","25","49","","12","46","48","43","","27","","9","7","37","","1","7","6","","","","","","","","","","",""
"27/7","23","6318","","","11","26","","3","239","","","3","2","","1","","","","","","","","6","12","","","","","","1","75","1","5","144","166","3","303","1","63","","","43","73","13","26","60","45","71","52","8","","1","13","60","22","1","10","5","2","","","","","","","","","",""
"28/7","74","4449","","","12","50","","11","271","6","","1","","","1","","","","","","","","2","13","","1","","","4","5","","","4","120","631","92","244","2","30","","","24","","","147","64","32","71","56","2","3","","25","84","12","2","6","1","","3","","","","","","","","",""
"29/7","59","4592","","","6","54","","10","325","10","","1","6","","6","","7","","4","","","","10","44","","","","","1","","499","4","","139","1144","18","157","4","","","","10","31","21","18","52","63","39","185","11","35","2","3","","","4","13","4","","2","","","","","","","","",""
"30/7","144","4282","","","9","65","","13","360","1","","6","2","1","1","","","1","","","","","","8","2","","","","","3","469","","6","88","1920","36","157","7","242","","","16","15","17","217","40","17","174","133","17","12","1","11","97","","","28","4","","","","","","","","","","",""
"31/7","46","4180","","3","4","55","","10","456","3","","1","","","5","","13","","","","","1","13","32","","4","","10","2","","544","1","13","72","2075","","146","4","123","","","2","48","16","335","58","75","72","115","28","14","3","5","","","","19","12","1","","1","","","","","","","",""
"1/8","81","4052","1","","","","","11","425","7","","5","","","8","","3","","","","","","14","15","","3","","","","1","569","1","6","102","2179","31","86","3","","","","21","50","24","298","49","32","100","184","16","20","4","3","82","53","","41","2","7","4","4","","","","","","","",""
"2/8","159","4264","1","2","3","76","","19","380","","","3","3","","9","","21","","","","","","4","14","","","","6","13","","445","","7","","949","31","77","10","79","","","17","50","18","286","25","46","221","132","21","8","2","19","","","","11","12","","","2","","","","","","","",""
"3/8","98","4171","1","","2","66","","12","364","3","","23","","","3","2","12","","3","","2","","9","29","","4","","3","7","","566","6","39","298","1606","33","141","7","","","8","26","72","16","189","60","72","120","81","18","5","","29","98","33","1","16","16","4","","3","","","","","","","",""
"4/8","24","3300","3","","1","93","1","10","389","4","","15","1","2","17","","6","1","","","","","19","15","","3","","2","","","427","5","10","194","2143","","156","14","","","2","24","60","","150","61","161","150","","23","6","1","29","24","49","","10","5","2","1","5","","","","","","","",""
"5/8","69","3886","1","","","92","1","9","358","21","7","10","2","2","2","","","","","","2","","6","32","","1","","","","","715","7","24","235","822","9","114","6","169","","5","21","58","12","96","55","75","52","112","35","8","1","32","36","20","1","","7","","","11","","","","","","","",""
"6/8","116","4060","","","2","138","","11","554","5","8","5","2","","9","","21","","","","","","2","17","","2","","","8","","859","2","24","102","1169","62","141","13","253","","11","47","63","17","269","43","66","94","","19","5","4","25","52","","","12","4","","1","3","","","","","","","",""
"7/8","10","3930","1","","","","","10","709","11","4","7","","","4","","","","","","","","","","","","","20","2","","367","6","17","134","882","","60","6","165","","4","31","62","17","167","78","61","141","288","17","2","12","22","49","","5","9","7","","1","15","","","","","","","",""
"8/8","114","3898","1","1","1","130","","6","614","3","1","14","2","","4","","","","2","","","","23","41","","","","2","","","724","2","4","","3210","67","92","8","","","3","15","57","18","201","42","46","71","","14","5","21","85","20","94","6","14","7","","","1","","","","","","","",""
"9/8","78","3991","","","","60","","11","538","12","2","18","","","","","12","","","","1","","27","3","","","","1","10","","287","1","14","290","2887","15","77","15","251","","1","37","57","20","33","84","34","98","242","45","5","30","","","","1","18","14","","","3","","","","","","","",""
"10/8","61","3956","","","","74","","8","732","8","4","11","","","","","128","1","","","2","","5","55","","","","2","","","890","4","43","102","1325","8","101","15","100","","12","53","52","29","","37","63","106","109","","","18","61","107","64","2","19","17","","","1","","","","","","","",""
"11/8","40","3416","","","","56","","4","979","4","","14","1","","13","","16","3","","","","","1","","","1","","19","","","963","2","","263","1897","","191","9","177","","","39","63","12","102","66","68","103","181","10","19","","19","","","1","","","","","","","","","","","","",""
"12/8","78","3841","1","","","78","","2","1071","1","6","16","","","6","","14","2","","","","","20","30","","","","","1","","354","3","9","79","3028","91","132","8","212","","1","16","","23","172","46","31","128","","20","6","22","24","34","20","1","14","6","1","","5","","","","","","","",""
"13/8","97","3531","1","","","58","","4","808","4","","10","4","","4","","14","1","","","","","31","7","","8","","","","","623","5","18","61","2816","140","152","15","","","","61","71","8","243","64","28","142","69","12","7","2","7","","","1","3","16","","","4","","","","","","","",""
"14/8","40","4231","","","","87","","","1023","3","2","35","2","1","3","","12","8","","","","","57","26","","4","","17","","","653","3","70","97","2029","16","118","","461","","2","33","57","32","164","40","36","164","77","23","5","14","22","40","","2","","","","","1","","","","","","","",""
"15/8","39","4516","1","","","83","","26","546","5","2","34","","21","2","","27","","","","1","","8","","","8","","","1","","514","","8","159","2358","","271","14","209","","18","34","","19","166","27","39","170","16","22","4","11","22","60","82","6","10","13","","","2","","","","","","","",""
"16/8","50","3341","","1","","96","","11","588","1","","4","4","11","6","","24","6","","","","","60","11","","","","2","3","1","599","2","25","52","2522","71","158","17","152","","2","87","131","32","262","62","33","86","","3","6","8","27","","75","4","6","","","","2","","","","","","","",""
"17/8","61","3559","","","","124","","11","298","","1","5","3","20","12","","16","","","","","","1","24","","5","","","","1","581","3","26","88","3332","79","170","19","411","","4","33","76","31","139","71","55","172","79","12","3","3","11","10","44","2","","","","","","","","","","","","",""
"18/8","46","3731","","","1","134","","53","443","","1","9","1","7","6","1","59","","","","","","17","5","","12","","2","1","","428","1","7","104","2513","","31","8","282","","4","105","61","169","86","65","20","91","","15","","6","8","72","","2","16","13","","","8","","","","","","","",""
"19/8","53","4425","","","","164","","24","657","2","1","16","1","4","6","","45","4","","","7","","","","","9","","26","2","","545","2","","102","3255","51","185","7","478","","","70","60","17","151","44","43","134","","24","8","","7","","","","6","","","","4","","","","","","","",""
"20/8","72","3375","1","1","","167","","17","686","","","9","7","10","3","","61","","","","18","","61","56","","1","","2","2","","495","4","10","122","4223","47","156","15","367","","1","111","23","14","147","27","29","147","57","14","11","4","4","59","","7","","","","","7","","","","","","","",""
"21/8","76","4084","","","","197","","32","551","1","","3","7","3","3","","60","1","1","","2","","6","32","","","","","2","","393","","11","83","6623","24","109","3","589","","","71","","43","76","45","43","100","57","","8","10","4","42","","6","12","","","","4","","","","","","","",""
"22/8","11","4193","","","","183","","16","849","","1","3","5","11","","","68","","","","6","","","12","","3","","15","","","365","","10","83","3795","39","142","20","709","","6","69","49","15","160","38","47","97","107","20","","","5","","138","10","7","39","","","","","","","","","","",""
"23/8","40","4251","","1","","152","","8","623","","","","","2","1","","111","","","","9","","17","128","","","","21","6","","388","5","5","17","3183","34","100","4","459","","","75","10","57","242","43","36","85","154","19","13","1","4","65","","1","","7","","","6","","","","","","","",""
"24/8","66","4627","","1","","153","","11","799","","","1","7","3","5","","28","","","","3","1","13","21","","9","","9","","","393","7","3","105","3628","6","162","10","93","","","42","11","61","203","24","56","72","64","5","20","5","4","12","42","1","9","","","","2","","","","","","","",""
"25/8","96","5294","","","","162","","9","618","","2","2","","3","3","","95","","","","","","","40","","","","4","","","460","7","","119","4129","24","93","15","319","","","50","5","23","150","27","106","90","75","18","7","","6","","4","28","4","5","","","1","","","","","","","",""
